time	ref	y	y_dot	p1	p2	z	u
0.000000	0.578157	0.000009	0.017365	2254209.566784	3066053.977694	0.005778	0.031878
0.001000	0.578157	0.000035	0.036851	2786677.146331	3027887.707317	0.015431	0.059030
0.002000	0.578157	0.000085	0.065162	3967344.816920	2780948.427075	0.027565	0.082366
0.003000	0.578157	0.000170	0.106874	5504727.419584	2932091.636317	0.041149	0.102504
0.004000	0.578157	0.000303	0.160693	6889544.269920	3579187.819051	0.055415	0.119852
0.005000	0.578157	0.000494	0.220982	7722404.956027	4400060.848756	0.069781	0.134670
0.006000	0.578157	0.000744	0.277290	7956425.201568	5038599.199300	0.083802	0.147130
0.007000	0.578157	0.001043	0.318275	8004867.365727	5176930.430742	0.097140	0.157385
0.008000	0.578157	0.001375	0.342749	8420628.172271	4832995.198349	0.109554	0.165624
0.009000	0.578157	0.001726	0.358965	9410277.282719	4350051.204831	0.120889	0.172086
0.010000	0.578157	0.002093	0.375703	10740728.317343	4008173.047746	0.131068	0.177041
0.011000	0.578157	0.002479	0.397206	11993490.710357	3878901.693047	0.140075	0.180758
0.012000	0.578157	0.002889	0.423089	12847079.144293	3916857.042093	0.147941	0.183469
0.013000	0.578157	0.003326	0.450525	13200924.027789	4047138.132423	0.154725	0.185365
0.014000	0.578157	0.003789	0.476490	13137885.403759	4204701.709012	0.160503	0.186602
0.015000	0.578157	0.004277	0.499038	12819110.417013	4348450.023816	0.165361	0.187304
0.016000	0.578157	0.004786	0.517568	12395713.490465	4462252.701564	0.169388	0.187574
0.017000	0.578157	0.005311	0.532400	11966371.106272	4547457.584654	0.172671	0.187502
0.018000	0.578157	0.005850	0.544228	11578193.586417	4612375.459520	0.175298	0.187164
0.019000	0.578157	0.006399	0.553795	11240690.388780	4666420.985804	0.177351	0.186626
0.020000	0.578157	0.006957	0.561677	10944523.602573	4716398.657307	0.178910	0.185948
0.021000	0.578157	0.007522	0.568237	10675805.613627	4765599.669085	0.180046	0.185177
0.022000	0.578157	0.008093	0.573666	10424079.497489	4814451.513402	0.180827	0.184354
0.023000	0.578157	0.008669	0.578061	10184694.327197	4861807.312779	0.181313	0.183511
0.024000	0.578157	0.009249	0.581490	9957757.516806	4906114.914355	0.181560	0.182673
0.025000	0.578157	0.009832	0.584030	9745799.734883	4946182.147198	0.181614	0.181858
0.026000	0.578157	0.010417	0.585787	9551576.221692	4981479.337441	0.181517	0.181080
0.027000	0.578157	0.011003	0.586887	9376737.755789	5012123.277903	0.181305	0.180346
0.028000	0.578157	0.011590	0.587464	9221369.129208	5038658.912369	0.181007	0.179663
0.029000	0.578157	0.012178	0.587643	9084195.895309	5061811.948718	0.180649	0.179031
0.030000	0.578157	0.012765	0.587533	8963107.185854	5082289.530684	0.180251	0.178453
0.031000	0.578157	0.013353	0.587221	8855710.434266	5100667.227290	0.179830	0.177927
0.032000	0.578157	0.013940	0.586775	8759748.295197	5117356.955290	0.179399	0.177451
0.033000	0.578157	0.014526	0.586244	8673321.767245	5132629.216159	0.178968	0.177022
0.034000	0.578157	0.015112	0.585663	8594941.713185	5146662.789046	0.178545	0.176636
0.035000	0.578157	0.015698	0.585060	8523482.484002	5159571.869247	0.178137	0.176291
0.036000	0.578157	0.016282	0.584454	8458066.202392	5171475.403436	0.177746	0.175982
0.037000	0.578157	0.016866	0.583862	8397969.840780	5182476.091541	0.177376	0.175706
0.038000	0.578157	0.017450	0.583296	8342578.366902	5192678.569770	0.177029	0.175459
0.039000	0.578157	0.018033	0.582764	8291332.323236	5202186.910954	0.176704	0.175238
0.040000	0.578157	0.018616	0.582271	8243720.901110	5211095.618026	0.176403	0.175040
0.041000	0.578157	0.019198	0.581821	8199283.927637	5219484.917470	0.176123	0.174861
0.042000	0.578157	0.019779	0.581416	8157622.142381	5227418.654019	0.175865	0.174700
0.043000	0.578157	0.020360	0.581053	8118399.532305	5234946.076718	0.175628	0.174555
0.044000	0.578157	0.020941	0.580731	8081340.509227	5242104.149424	0.175409	0.174422
0.045000	0.578157	0.021522	0.580447	8046224.017178	5248920.933937	0.175208	0.174301
0.046000	0.578157	0.022102	0.580199	8012874.092694	5255418.796894	0.175024	0.174190
0.047000	0.578157	0.022682	0.579982	7981148.146470	5261617.031603	0.174854	0.174088
0.048000	0.578157	0.023262	0.579793	7950928.338545	5267532.583325	0.174698	0.173993
0.049000	0.578157	0.023842	0.579630	7922114.865992	5273180.847919	0.174554	0.173905
0.050000	0.578157	0.024422	0.579489	7894621.375539	5278575.804513	0.174422	0.173822
0.051000	0.578157	0.025001	0.579367	7868372.114535	5283730.011531	0.174299	0.173745
0.052000	0.578157	0.025580	0.579262	7843300.776736	5288654.597621	0.174185	0.173672
0.053000	0.578157	0.026159	0.579172	7819348.488556	5293359.596924	0.174080	0.173603
0.054000	0.578157	0.026739	0.579093	7796462.630721	5297854.221214	0.173982	0.173538
0.055000	0.578157	0.027318	0.579025	7774596.014993	5302146.700820	0.173890	0.173476
0.056000	0.578157	0.027897	0.578966	7753705.860651	5306244.740974	0.173804	0.173417
0.057000	0.578157	0.028476	0.578914	7733752.871624	5310155.639675	0.173724	0.173362
0.058000	0.578157	0.029055	0.578869	7714700.438476	5313886.405552	0.173649	0.173308
0.059000	0.578157	0.029633	0.578828	7696513.870211	5317443.851566	0.173578	0.173258
