time	ref	y	y_dot	p1	p2	z	u
0.000000	0.578157	0.000010	0.022092	3168940.197158	2012274.326404	0.018139	0.100065
0.001000	0.578157	0.000051	0.064423	5346339.155701	1523399.347121	0.034141	0.106420
0.002000	0.578157	0.000145	0.125883	7376861.621189	2475017.542586	0.049070	0.116497
0.003000	0.578157	0.000306	0.196584	8448011.822942	3879513.987544	0.063349	0.127844
0.004000	0.578157	0.000538	0.264859	8426084.640304	5125642.456658	0.077199	0.139754
0.005000	0.578157	0.000830	0.317059	7799964.095041	5753082.651852	0.090538	0.150784
0.006000	0.578157	0.001163	0.344979	7409056.687230	5573125.081043	0.102656	0.157390
0.007000	0.578157	0.001514	0.355361	7836912.098973	4925460.412908	0.113279	0.161261
0.008000	0.578157	0.001873	0.361373	9050574.589062	4309281.150973	0.122525	0.164286
0.009000	0.578157	0.002239	0.372298	10580208.661019	3960383.326989	0.130593	0.167031
0.010000	0.578157	0.002620	0.390740	11898880.030991	3878094.090590	0.137594	0.169216
0.011000	0.578157	0.003022	0.414412	12693197.447884	3974337.219968	0.143610	0.170781
0.012000	0.578157	0.003449	0.439208	12923525.793153	4153849.129989	0.148678	0.171568
0.013000	0.578157	0.003900	0.461621	12735026.323564	4340589.846568	0.152903	0.171990
0.014000	0.578157	0.004371	0.479830	12330268.466280	4490066.497039	0.156413	0.172265
0.015000	0.578157	0.004858	0.493647	11879157.135226	4588813.289921	0.159331	0.172511
0.016000	0.578157	0.005357	0.503915	11481812.076876	4644989.410775	0.161768	0.172775
0.017000	0.578157	0.005865	0.511848	11171559.254972	4676221.378159	0.163813	0.173050
0.018000	0.578157	0.006380	0.518486	10937644.789671	4699018.365592	0.165535	0.173312
0.019000	0.578157	0.006902	0.524500	10750996.708004	4723995.219724	0.166985	0.173534
0.020000	0.578157	0.007429	0.530184	10582994.767033	4755375.375699	0.168202	0.173702
0.021000	0.578157	0.007962	0.535559	10414916.684036	4792674.767333	0.169217	0.173816
0.022000	0.578157	0.008500	0.540535	10240305.714011	4832744.508823	0.170062	0.173882
0.023000	0.578157	0.009043	0.544995	10061181.537066	4872368.983150	0.170760	0.173915
0.024000	0.578157	0.009590	0.548877	9883764.583264	4909050.315725	0.171334	0.173928
0.025000	0.578157	0.010141	0.552190	9714608.785086	4941574.925547	0.171804	0.173928
0.026000	0.578157	0.010694	0.554991	9558338.890000	4969859.705141	0.172188	0.173922
0.027000	0.578157	0.011250	0.557372	9416786.587420	4994566.292761	0.172501	0.173914
0.028000	0.578157	0.011809	0.559423	9289445.526387	5016611.203844	0.172755	0.173902
0.029000	0.578157	0.012369	0.561221	9174446.132916	5036828.250342	0.172960	0.173888
0.030000	0.578157	0.012931	0.562822	9069446.530962	5055806.437128	0.173125	0.173870
0.031000	0.578157	0.013495	0.564262	8972316.609537	5073848.599552	0.173256	0.173849
0.032000	0.578157	0.014060	0.565562	8881546.884577	5091032.192483	0.173359	0.173824
0.033000	0.578157	0.014626	0.566733	8796247.129768	5107318.309845	0.173439	0.173798
0.034000	0.578157	0.015193	0.567784	8715988.512487	5122642.158604	0.173499	0.173770
0.035000	0.578157	0.015761	0.568727	8640591.500285	5136968.708493	0.173543	0.173742
0.036000	0.578157	0.016331	0.569570	8569937.134349	5150317.086726	0.173574	0.173713
0.037000	0.578157	0.016901	0.570328	8503858.624415	5162750.709238	0.173594	0.173685
0.038000	0.578157	0.017471	0.571011	8442101.679912	5174360.308394	0.173605	0.173658
0.039000	0.578157	0.018043	0.571631	8384333.792443	5185242.801291	0.173610	0.173631
0.040000	0.578157	0.018614	0.572197	8330202.743237	5195482.288827	0.173609	0.173605
0.041000	0.578157	0.019187	0.572716	8279359.588567	5205146.634317	0.173604	0.173580
0.042000	0.578157	0.019760	0.573194	8231492.283416	5214286.931751	0.173595	0.173556
0.043000	0.578157	0.020333	0.573635	8186339.027507	5222939.039583	0.173584	0.173532
0.044000	0.578157	0.020907	0.574044	8143686.598665	5231130.700100	0.173570	0.173509
0.045000	0.578157	0.021481	0.574423	8103360.766517	5238885.464588	0.173555	0.173487
0.046000	0.578157	0.022056	0.574775	8065213.519469	5246226.539573	0.173539	0.173466
0.047000	0.578157	0.022631	0.575103	8029112.463289	5253177.167800	0.173522	0.173446
0.048000	0.578157	0.023206	0.575409	7994933.975671	5259761.823398	0.173505	0.173426
0.049000	0.578157	0.023782	0.575695	7962559.461607	5266004.203391	0.173487	0.173407
0.050000	0.578157	0.024358	0.575963	7931875.354664	5271926.828753	0.173469	0.173390
0.051000	0.578157	0.024934	0.576214	7902775.144732	5277549.725828	0.173452	0.173372
0.052000	0.578157	0.025510	0.576451	7875159.770587	5282891.345621	0.173435	0.173356
0.053000	0.578157	0.026087	0.576674	7848938.319279	5287967.997526	0.173417	0.173341
0.054000	0.578157	0.026663	0.576884	7824028.439802	5292794.030316	0.173401	0.173326
0.055000	0.578157	0.027240	0.577083	7800355.227072	5297383.026955	0.173385	0.173311
0.056000	0.578157	0.027818	0.577270	7777850.581793	5301746.913213	0.173369	0.173298
0.057000	0.578157	0.028395	0.577448	7756452.098635	5305897.090003	0.173354	0.173285
0.058000	0.578157	0.028972	0.577615	7736102.090687	5309844.197129	0.173339	0.173272
0.059000	0.578157	0.029550	0.577774	7716746.973693	5313598.249715	0.173325	0.173261
0.060000	0.578157	0.030128	0.577925	7698336.826364	5317168.599589	0.173311	0.173249
0.061000	0.578157	0.030706	0.578067	7680824.527350	5320564.446790	0.173298	0.173239
0.062000	0.578157	0.031284	0.578202	7664165.972182	5323793.982261	0.173285	0.173228
0.063000	0.578157	0.031862	0.578330	7648320.125022	5326864.897971	0.173273	0.173219
0.064000	0.578157	0.032441	0.578452	7633248.251855	5329784.715276	0.173262	0.173210
0.065000	0.578157	0.033019	0.578567	7618914.567844	5332559.838465	0.173251	0.173201
0.066000	0.578157	0.033598	0.578676	7605285.622519	5335196.698891	0.173240	0.173192
0.067000	0.578157	0.034177	0.578779	7592329.955330	5337701.252134	0.173230	0.173184
0.068000	0.578157	0.034755	0.578877	7580018.103517	5340078.960483	0.173220	0.173177
0.069000	0.578157	0.035334	0.578970	7568322.321639	5342335.396910	0.173211	0.173170
0.070000	0.578157	0.035913	0.579057	7557216.897981	5344475.067314	0.173202	0.173163
0.071000	0.578157	0.036493	0.579140	7546676.943100	5346503.292155	0.173194	0.173156
0.072000	0.578157	0.037072	0.579219	7536678.918751	5348424.350115	0.173186	0.173150
0.073000	0.578157	0.037651	0.579293	7527201.093763	5350242.248494	0.173179	0.173144
0.074000	0.578157	0.038230	0.579362	7518222.747848	5351961.148567	0.173171	0.173139
0.075000	0.578157	0.038810	0.579428	7509724.115284	5353584.881822	0.173165	0.173134
0.076000	0.578157	0.039389	0.579490	7501686.898220	5355116.725433	0.173158	0.173129
0.077000	0.578157	0.039969	0.579548	7494093.465661	5356560.354123	0.173152	0.173124
0.078000	0.578157	0.040548	0.579603	7486927.317760	5357918.678616	0.173146	0.173120
0.079000	0.578157	0.041128	0.579654	7480172.708032	5359195.019950	0.173140	0.173115
0.080000	0.578157	0.041708	0.579701	7473814.431951	5360392.332645	0.173135	0.173111
0.081000	0.578157	0.042287	0.579746	7467838.157092	5361513.349108	0.173130	0.173108
0.082000	0.578157	0.042867	0.579787	7462230.679246	5362560.399620	0.173126	0.173104
0.083000	0.578157	0.043447	0.579825	7456979.361885	5363536.053995	0.173121	0.173101
0.084000	0.578157	0.044027	0.579861	7452071.656049	5364443.130365	0.173117	0.173098
0.085000	0.578157	0.044607	0.579893	7447495.615272	5365283.744123	0.173113	0.173095
0.086000	0.578157	0.045186	0.579923	7443240.516339	5366059.679211	0.173109	0.173093
0.087000	0.578157	0.045766	0.579950	7439295.576217	5366773.491754	0.173106	0.173090
0.088000	0.578157	0.046346	0.579975	7435650.541638	5367427.000125	0.173103	0.173088
0.089000	0.578157	0.046926	0.579997	7432295.936728	5368021.979588	0.173100	0.173086
0.090000	0.578157	0.047506	0.580016	7429222.470635	5368560.401586	0.173097	0.173084
0.091000	0.578157	0.048086	0.580034	7426421.385850	5369043.880177	0.173094	0.173082
0.092000	0.578157	0.048666	0.580049	7423884.262170	5369474.122310	0.173092	0.173081
0.093000	0.578157	0.049246	0.580062	7421603.091118	5369852.640131	0.173090	0.173080
0.094000	0.578157	0.049827	0.580073	7419570.065374	5370181.266517	0.173088	0.173078
0.095000	0.578157	0.050407	0.580081	7417777.324657	5370461.315752	0.173086	0.173077
0.096000	0.578157	0.050987	0.580088	7416218.446608	5370693.750608	0.173084	0.173076
0.097000	0.578157	0.051567	0.580093	7414886.563086	5370880.388916	0.173083	0.173075
0.098000	0.578157	0.052147	0.580095	7413775.466250	5371022.259527	0.173081	0.173075
0.099000	0.578157	0.052727	0.580096	7412879.160774	5371120.572159	0.173080	0.173074
0.100000	0.578157	0.053307	0.580095	7412191.483696	5371176.676825	0.173079	0.173074
0.101000	0.578157	0.053887	0.580093	7411706.881524	5371191.606158	0.173078	0.173074
0.102000	0.578157	0.054467	0.580088	7411421.224046	5371166.427315	0.173077	0.173073
0.103000	0.578157	0.055047	0.580082	7411319.707791	5371103.659168	0.173076	0.173073
0.104000	0.578157	0.055627	0.580074	7411410.307261	5371001.540181	0.173076	0.173073
0.105000	0.578157	0.056208	0.580065	7411677.887451	5370863.210243	0.173075	0.173074
0.106000	0.578157	0.056788	0.580054	7412121.350853	5370688.561504	0.173075	0.173074
0.107000	0.578157	0.057368	0.580042	7412737.617719	5370478.390293	0.173075	0.173074
0.108000	0.578157	0.057948	0.580028	7413523.181449	5370233.398332	0.173075	0.173075
0.109000	0.578157	0.058528	0.580013	7414473.914947	5369954.965720	0.173075	0.173075
0.110000	0.578157	0.059108	0.579996	7415585.247762	5369643.782244	0.173075	0.173076
0.111000	0.578157	0.059688	0.579978	7416853.287297	5369300.816991	0.173076	0.173077
0.112000	0.578157	0.060268	0.579958	7418273.707690	5368926.950726	0.173076	0.173078
0.113000	0.578157	0.060848	0.579937	7419842.908506	5368522.641230	0.173076	0.173079
