time	ref	y	y_dot	p1	p2	z	u
0.000000	0.578157	-0.000419	0.023272	2892362.513434	2432941.312559	0.014252	0.061819
0.001000	0.578157	-0.000667	0.051846	4247045.075736	2138304.064269	0.023701	0.078046
0.002000	0.578157	0.000080	0.097375	5891808.342389	2567056.333637	0.038484	0.090474
0.003000	0.578157	0.000984	0.146078	7215836.122282	3395881.080998	0.052289	0.110024
0.004000	0.578157	0.000561	0.204232	8486716.964963	3915889.965224	0.068165	0.129067
0.005000	0.578157	0.000535	0.272461	8854428.429076	4774148.472398	0.083085	0.146485
0.006000	0.578157	0.000444	0.342984	8348782.665835	5543144.721074	0.098142	0.159382
0.007000	0.578157	0.000458	0.399450	7294657.142887	6117994.613048	0.110045	0.167752
0.008000	0.578157	0.001411	0.418316	6397126.735600	6019504.016749	0.120486	0.170556
0.009000	0.578157	0.001354	0.415328	6657202.992963	5264045.930595	0.127082	0.174297
0.010000	0.578157	0.001588	0.415460	7738183.793746	4668414.366736	0.134746	0.177283
0.011000	0.578157	0.002745	0.406128	9308713.012975	4180210.335637	0.139551	0.180602
0.012000	0.578157	0.003687	0.411941	11186503.673178	3830103.380952	0.146952	0.183076
0.013000	0.578157	0.004500	0.431201	12811570.300027	3618502.205595	0.157661	0.186043
0.014000	0.578157	0.005758	0.465561	13756533.417336	3728447.390289	0.166659	0.189884
0.015000	0.578157	0.006212	0.501165	13918509.968292	4055851.484073	0.171243	0.192351
0.016000	0.578157	0.007346	0.533171	13070259.716295	4437653.545990	0.174002	0.189249
0.017000	0.578157	0.008325	0.558149	11997759.924198	4841227.540306	0.174098	0.183708
0.018000	0.578157	0.008740	0.572801	10922606.105298	4958664.558404	0.178083	0.178573
0.019000	0.578157	0.008513	0.581626	10020234.353663	5210697.112385	0.175325	0.177108
0.020000	0.578157	0.009472	0.580223	9096281.760866	5287232.956224	0.174397	0.174360
0.021000	0.578157	0.009815	0.573111	8839584.643792	5130058.255281	0.175855	0.174181
0.022000	0.578157	0.010157	0.571071	8893951.782912	4983637.406910	0.177213	0.176167
0.023000	0.578157	0.010990	0.569211	9093637.820803	4971621.236194	0.176918	0.177124
0.024000	0.578157	0.012185	0.569100	9254447.476724	4913392.771364	0.177879	0.177393
0.025000	0.578157	0.012468	0.572216	9511080.118847	4839178.583400	0.180313	0.177794
0.026000	0.578157	0.013077	0.577635	9422352.193445	4980163.766321	0.178246	0.178107
0.027000	0.578157	0.014012	0.586377	9192211.756377	5052743.625464	0.180124	0.176172
0.028000	0.578157	0.014286	0.590059	8982994.401570	5104424.231862	0.180537	0.175607
0.029000	0.578157	0.014544	0.591729	9014224.680278	4992060.928009	0.183584	0.175296
0.030000	0.578157	0.015493	0.595432	8980617.017570	5076009.811265	0.182324	0.176260
0.031000	0.578157	0.015902	0.599038	8856333.964780	5168055.684618	0.182288	0.175300
0.032000	0.578157	0.016402	0.599999	8451011.038507	5399652.749747	0.178079	0.174825
0.033000	0.578157	0.017171	0.597064	7902793.914384	5440973.977584	0.176999	0.173076
0.034000	0.578157	0.017706	0.590576	7657555.570546	5447270.641475	0.175264	0.173034
0.035000	0.578157	0.018457	0.582167	7500805.037891	5389532.652007	0.173777	0.173193
0.036000	0.578157	0.019114	0.575844	7745549.613314	5175196.551555	0.175590	0.173693
0.037000	0.578157	0.019703	0.576152	8194963.438724	5038272.189987	0.177963	0.175496
0.038000	0.578157	0.020133	0.577840	8481946.852157	5023455.892999	0.178164	0.176367
0.039000	0.578157	0.020967	0.583736	8597960.012287	5111895.494469	0.178186	0.176097
0.040000	0.578157	0.021850	0.587703	8448451.163065	5251452.205848	0.176968	0.175196
0.041000	0.578157	0.021971	0.589954	8151987.651707	5359894.744563	0.175914	0.174218
0.042000	0.578157	0.022831	0.591523	8101299.708590	5211178.189663	0.179751	0.173523
0.043000	0.578157	0.023876	0.592422	8153190.526772	5189163.019395	0.179581	0.174805
0.044000	0.578157	0.024080	0.595539	7857976.014928	5469565.326810	0.175424	0.174625
0.045000	0.578157	0.024727	0.591136	7455041.561447	5486444.280899	0.174452	0.172620
0.046000	0.578157	0.025001	0.584040	7439339.849798	5265259.633324	0.176648	0.172808
0.047000	0.578157	0.024735	0.579689	7765302.652273	5195561.240434	0.175870	0.174563
0.048000	0.578157	0.025875	0.582834	7895040.848212	5314695.915159	0.174516	0.174818
0.049000	0.578157	0.027098	0.582899	7694553.238710	5406525.128786	0.172827	0.173893
