time	ref	y	y_dot	p1	p2	z	u
0.000000	0.578157	0.000010	0.021086	2970545.204969	2218047.066174	0.015442	0.085191
0.001000	0.578157	0.000048	0.058425	4708406.697602	1782366.519768	0.028847	0.089390
0.002000	0.578157	0.000132	0.110742	6280733.141561	2672303.336914	0.040786	0.094710
0.003000	0.578157	0.000271	0.168675	7037185.809068	4103920.603671	0.051845	0.101795
0.004000	0.578157	0.000468	0.222563	6905070.486071	5422475.637923	0.062193	0.108933
0.005000	0.578157	0.000712	0.263045	6267050.583517	6176438.273961	0.071873	0.115594
0.006000	0.578157	0.000987	0.283535	5800282.956314	6094879.763249	0.080809	0.121168
0.007000	0.578157	0.001274	0.288237	6083231.989162	5373650.038095	0.088875	0.125308
0.008000	0.578157	0.001562	0.288447	7212892.265240	4559330.609491	0.096144	0.128977
0.009000	0.578157	0.001852	0.293482	8827003.356466	4036141.934996	0.102642	0.131989
0.010000	0.578157	0.002152	0.306759	10404025.353739	3859381.325739	0.108477	0.134834
0.011000	0.578157	0.002468	0.326683	11555521.079923	3926663.180769	0.113776	0.137711
0.012000	0.578157	0.002806	0.349316	12151600.530330	4109959.140049	0.118661	0.140726
0.013000	0.578157	0.003166	0.370923	12281100.615853	4305206.719588	0.123195	0.143672
0.014000	0.578157	0.003547	0.389361	12132591.861884	4451252.805293	0.127409	0.146439
0.015000	0.578157	0.003944	0.404223	11886001.056804	4532199.709610	0.131306	0.148911
0.016000	0.578157	0.004354	0.416247	11655479.605298	4563308.608324	0.134887	0.151062
0.017000	0.578157	0.004776	0.426558	11482690.862613	4570789.873674	0.138159	0.152939
0.018000	0.578157	0.005207	0.436111	11359151.277857	4576643.711349	0.141142	0.154612
0.019000	0.578157	0.005648	0.445448	11255712.541058	4592709.490859	0.143861	0.156146
0.020000	0.578157	0.006098	0.454710	11145214.510747	4621327.898103	0.146349	0.157584
0.021000	0.578157	0.006557	0.463787	11013281.963861	4659048.079610	0.148632	0.158944
0.022000	0.578157	0.007025	0.472480	10859012.189101	4700529.888214	0.150733	0.160227
0.023000	0.578157	0.007502	0.480628	10690108.793713	4741216.334711	0.152672	0.161428
0.024000	0.578157	0.007986	0.488153	10516923.678536	4778472.904773	0.154462	0.162545
0.025000	0.578157	0.008478	0.495061	10348113.665264	4811580.643360	0.156114	0.163576
0.026000	0.578157	0.008976	0.501416	10188744.776848	4841077.662259	0.157638	0.164525
0.027000	0.578157	0.009481	0.507312	10040121.077813	4868237.238286	0.159045	0.165400
0.028000	0.578157	0.009991	0.512821	9900979.312183	4894092.543811	0.160344	0.166209
0.029000	0.578157	0.010506	0.517983	9769599.605669	4919035.939464	0.161543	0.166960
0.030000	0.578157	0.011027	0.522825	9644638.725615	4943133.614230	0.162651	0.167658
0.031000	0.578157	0.011552	0.527360	9525364.420391	4966279.246390	0.163676	0.168307
0.032000	0.578157	0.012081	0.531601	9411555.308169	4988328.451322	0.164625	0.168912
0.033000	0.578157	0.012615	0.535560	9303262.590028	5009183.735128	0.165504	0.169474
0.034000	0.578157	0.013152	0.539254	9200581.147660	5028825.348251	0.166318	0.169996
0.035000	0.578157	0.013693	0.542700	9103508.210800	5047300.545689	0.167073	0.170481
0.036000	0.578157	0.014238	0.545915	9011899.336877	5064694.889755	0.167772	0.170933
0.037000	0.578157	0.014785	0.548919	8925491.979684	5081105.524972	0.168421	0.171353
0.038000	0.578157	0.015335	0.551727	8843957.313700	5096618.791567	0.169023	0.171743
0.039000	0.578157	0.015888	0.554354	8766955.623696	5111305.149474	0.169582	0.172107
0.040000	0.578157	0.016444	0.556812	8694171.091767	5125218.118060	0.170101	0.172446
0.041000	0.578157	0.017002	0.559112	8625326.705733	5138399.318820	0.170584	0.172762
0.042000	0.578157	0.017562	0.561267	8560183.179098	5150884.562081	0.171032	0.173056
0.043000	0.578157	0.018124	0.563284	8498529.800408	5162707.738999	0.171448	0.173331
0.044000	0.578157	0.018689	0.565174	8440174.772081	5173902.319313	0.171836	0.173587
0.045000	0.578157	0.019255	0.566944	8384936.382470	5184503.294291	0.172197	0.173826
0.046000	0.578157	0.019823	0.568604	8332639.869958	5194543.546547	0.172533	0.174050
0.047000	0.578157	0.020392	0.570160	8283116.165377	5204060.619363	0.172845	0.174258
0.048000	0.578157	0.020963	0.571620	8236202.579282	5213085.030943	0.173137	0.174453
0.049000	0.578157	0.021535	0.572990	8191741.950858	5221645.178940	0.173408	0.174636
0.050000	0.578157	0.022109	0.574276	8149597.495527	5229763.347787	0.173662	0.174806
0.051000	0.578157	0.022684	0.575484	8109634.741695	5237467.307157	0.173898	0.174965
0.052000	0.578157	0.023260	0.576619	8071728.129714	5244780.106029	0.174119	0.175115
0.053000	0.578157	0.023837	0.577686	8035761.849746	5251723.036677	0.174324	0.175254
0.054000	0.578157	0.024415	0.578689	8001627.857890	5258315.587539	0.174517	0.175385
0.055000	0.578157	0.024994	0.579632	7969225.498234	5264576.565224	0.174696	0.175508
0.056000	0.578157	0.025574	0.580520	7938460.315620	5270523.705315	0.174864	0.175623
0.057000	0.578157	0.026155	0.581355	7909244.316656	5276173.176700	0.175021	0.175731
0.058000	0.578157	0.026737	0.582141	7881495.217087	5281540.603082	0.175168	0.175832
0.059000	0.578157	0.027320	0.582882	7855135.684359	5286640.605659	0.175306	0.175927
0.060000	0.578157	0.027903	0.583580	7830092.702073	5291486.855441	0.175435	0.176016
0.061000	0.578157	0.028487	0.584237	7806298.228457	5296091.967328	0.175555	0.176100
0.062000	0.578157	0.029071	0.584857	7783688.317901	5300468.119655	0.175668	0.176179
0.063000	0.578157	0.029656	0.585441	7762203.077397	5304626.475294	0.175774	0.176253
0.064000	0.578157	0.030242	0.585991	7741786.897476	5308577.519241	0.175873	0.176322
0.065000	0.578157	0.030828	0.586511	7722386.787824	5312331.429012	0.175967	0.176388
0.066000	0.578157	0.031415	0.587001	7703953.112657	5315897.412651	0.176054	0.176449
0.067000	0.578157	0.032002	0.587463	7686439.369456	5319284.249375	0.176136	0.176507
0.068000	0.578157	0.032590	0.587899	7669802.004428	5322500.124565	0.176213	0.176561
0.069000	0.578157	0.033178	0.588311	7654000.144796	5325552.778263	0.176285	0.176613
0.070000	0.578157	0.033767	0.588699	7638995.463419	5328449.570359	0.176353	0.176661
0.071000	0.578157	0.034356	0.589066	7624751.374818	5331197.636404	0.176417	0.176706
0.072000	0.578157	0.034945	0.589412	7611233.127374	5333803.633972	0.176477	0.176749
0.073000	0.578157	0.035534	0.589738	7598408.436135	5336273.391188	0.176534	0.176789
0.074000	0.578157	0.036124	0.590046	7586246.924246	5338612.789596	0.176587	0.176827
0.075000	0.578157	0.036715	0.590337	7574719.141085	5340826.769596	0.176637	0.176863
0.076000	0.578157	0.037305	0.590611	7563800.138056	5342921.093841	0.176684	0.176897
0.077000	0.578157	0.037896	0.590869	7553463.303085	5344900.954934	0.176729	0.176929
0.078000	0.578157	0.038487	0.591113	7543683.916709	5346770.870702	0.176770	0.176959
0.079000	0.578157	0.039078	0.591342	7534438.857065	5348535.270254	0.176810	0.176987
0.080000	0.578157	0.039669	0.591558	7525706.676875	5350198.077369	0.176846	0.177014
